sample,primer ID,scAmp-seq R1 file
E10,scAmp5,E10_scAmp5_I_S8_R1_001.fastq.gz
E10,scAmp5_II,E10_scAmp5_II_S9_R1_001.fastq.gz
E1a,scAmp3,E1a_scAmp3_S10_R1_001.fastq.gz
E1b,scAmp3,E1a_130921_scAmp3_S20_R1_001.fastq.gz
E1c,scAmp3,E1c_scAmp3_S19_R1_001.fastq.gz
E3,scAmp3,E3_scAmp3_S7_R1_001.fastq.gz
E4a,scAmp1,E4a_scAmp1_S15_R1_001.fastq.gz
E4a,scAmp4,E4a_scAmp4_S16_R1_001.fastq.gz
E4a,scAmp5,E4a_scAmp5_I_S17_R1_001.fastq.gz
E4a,scAmp5_II,E4a_scAmp5_II_S18_R1_001.fastq.gz
E4b,scAmp1,E4b_scAmp1_S11_R1_001.fastq.gz
E4b,scAmp4,E4b_scAmp4_S12_R1_001.fastq.gz
E4b,scAmp5,E4b_scAmp5_I_S13_R1_001.fastq.gz
E4b,scAmp5_II,E4b_scAmp5_II_S14_R1_001.fastq.gz
E4c,scAmp1,E4c_scAmp1_S9_R1_001.fastq.gz
E4c,scAmp4,E4c_scAmp4_S10_R1_001.fastq.gz
E4c,scAmp5,E4c_scAmp5_I_S11_R1_001.fastq.gz
E4c,scAmp5_II,E4c_scAmp5_II_S12_R1_001.fastq.gz
E5,scAmp3,E5_scAmp3_S1_R1_001.fastq.gz
E5,scAmp4,E5_scAmp4_S2_R1_001.fastq.gz
E5,scAmp5,E5_scAmp5_I_S3_R1_001.fastq.gz
E5,scAmp5_II,E5_scAmp5_II_S4_R1_001.fastq.gz
E6,scAmp3,E6_scAmp3_S5_R1_001.fastq.gz
E6,scAmp4,E6_scAmp4_S6_R1_001.fastq.gz
E7,scAmp4,E7_scAmp4_S8_R1_001.fastq.gz
E8a,scAmp4,E8a_scAmp4_S19_R1_001.fastq.gz
E8b,scAmp4,E8b_scAmp4_S13_R1_001.fastq.gz
E8b,scAmp5,E8b_scAmp5_I_S14_R1_001.fastq.gz
E8b,scAmp5_II,E8b_scAmp5_II_S15_R1_001.fastq.gz
E8c,scAmp4,E8c_scAmp4_S16_R1_001.fastq.gz
E8c,scAmp5,E8c_scAmp5_I_S17_R1_001.fastq.gz
E8c,scAmp5_II,E8c_scAmp5_II_S18_R1_001.fastq.gz
E9,scAmp4,E9_scAmp4_S7_R1_001.fastq.gz
SDS3,scAmp3,SDS3_scAmp3_S3_R1_001.fastq.gz
SDS4,scAmp2,SDS4_scAmp2_S4_R1_001.fastq.gz
SDS4,scAmp5,SDS4_scAmp5_I_S5_R1_001.fastq.gz
SDS4,scAmp5_II,SDS4_scAmp5_II_S6_R1_001.fastq.gz
SDS5a,scAmp4,SDS5a_scAmp4_S1_R1_001.fastq.gz
SDS5b,scAmp4,SDS5b_scAmp4_S2_R1_001.fastq.gz
